Indonesia,Simalungun
"nama se- jenis pohon, getahnya pahit dan baik untuk obat gigi yang sakit",sindulpak
nama sebuah,"gajing, nagur, soirgaga"
nama sebuah kampung di Simalungun,gajing
nama sebuah kerajaan dahulu kala,nagur
nama sebuah sungai yang terdapat di sebuah desa di Simalungun,soirgaga
nama sejenis,"adoyup, alim, alingit, banitan, boliala, gira, hatarum, hirlang, indot, jia, kiung, lasuan, linggarei, lopei, pamal, papaga, pidoras, rab, ranggas, sibarou, sihampir, sihiap, sihilang, sihorhor, silanton, silastom, singkam, sio, sohit, songkak, sorlup, sosopan, suawa, sugui, suyuk, tambos, tanggian, tarasih, tatada, tiptip, tobayas, tuldik, undalap, undalit"
nama sejenis binatang,"hulihap, sugui"
nama sejenis binatang penyengat,gocam
nama sejenis bunga,sitalasari
nama sejenis burung,"gimbal, goli, linggarei, pisi, tingtingbah, tiptip, tittit, tuldik"
nama sejenis burung berparuh panjang dan pengisap bunga,tarasih
nama sejenis burung kecil,tittit
nama sejenis burung yang dapat terbang dengan sangat kencang,pidoras
nama sejenis burung yang terbang bergerom- bol yang datangnya bermusim (saat tertentu),pamal
nama sejenis burung; tiung (semacam burung),kiung
nama sejenis dedaunan,silamlambau
nama sejenis ikan gabus,itok
"nama sejenis ikan sungai, badannya besar, mulutnya lebar, dan ada garis pinggangnya, serta mau me- nangkap dan memakan ikan kecil",sibarou
nama sejenis ikan tawar yang hidup di danau atau di rawa,undalap
nama sejenis kain,"goda, lasuan"
nama sejenis kain yang selalu diletakkan di kepala,jungjung
nama sejenis kayu,"bajor, dosih, hurungantondei, loba, losa, rahu, silastom, tatada, undalit"
nama sejenis kayu besar dan dibuat jadi kayu bangunan,simartolu
nama sejenis kayu keras,hatarum
nama sejenis kayu lembek dan buahnya yang matang berasa manis sehingga disukai anak-anak,sosopan
nama sejenis kayu yang batangnya lembek dan tidak bagus untuk bahan bangunan,songkak
nama sejenis kayu yang bergetah,rahu
nama sejenis labu,gundur
nama sejenis lumut yang berbentuk tali,singgohgoh
"nama sejenis lumut, hidup di batu padas",sorigudam
nama sejenis padi,boliala
nama sejenis pakis kayu yang dapat dibuat tiang gubuk,tanggian
nama sejenis perangkap ikan,suyuk
nama sejenis permainan judi,joir
nama sejenis pohon,"alingit, goringgoring"
"nama sejenis pohon berduri, dahan dan rantingnya jarang, dan buahnya kecil-kecil di- makan burung",simarpaman
nama sejenis pohon kayu besar,rajamantan
nama sejenis pohon kayu keras yang getah kulitnya merah dan dibuat menjadi kuah masakan ayam,singkam
nama sejenis pohon kayu yang buahnya selalu dipakai untuk peluru mainan anak-anak,singguboh
"nama sejenis pohon kayu, batangnya bagus dibuat tiang karena tahan dalam tanah",simarumbalang
"nama sejenis pohon yang tidak besar, daunnya berwarna merah dan dapat dijadikan obat",silanton
nama sejenis racun (binatang),sorlup
nama sejenis rumput,"onong, ranggas, salohot, sihampir, sihiap, sihid"
nama sejenis rumput air,sihid
nama sejenis rumput ilalang,palionggang
nama sejenis rumput yang,simargalunggung
nama sejenis rumput yang dapat digunakan untuk obat,suawa
nama sejenis rumput yang daunnya dapat di- jadikan obat,sihorhor
nama sejenis rumput yang daunnya selalu dibuat untuk obat,simargalunggung
nama sejenis rumput yang pahit dan dapat dijadikan sayur,papaga
nama sejenis tanaman hutan,tambos
nama sejenis tanaman yang,tangkul
nama sejenis tebu,sihilang
nama sejenis tikus kecil,hirlang
nama sejenis tumbuhan,"adoyup, indot"
nama sejenis tumbuhan di hutan,rimas
nama sejenis tumbuhan labu,tabu
nama sejenis tumbuh-tumbuhan,"burtaburta, rampasbire"
nama sejenis tumbuh-tumbuhan yang bentuk batangnya seperti tali dan berduri,sohit
nama sejenis ular,tobayas
nama sungai,bahapal
nama tumbuhan,batamagaluni
nama tumbuhan untuk obat,alumalum
nanah,"dangi, nanah"
nanah mayat,danei
nangka,nangka
nanti,"holi, magira"
napas,hosah
napas kelelahan,hoih
nasehat,ajar
nasi,"indahan, sidabuhan, sulang"
nasi lembek,hulba
nasib,"lajang, okang, rongkap, sibaran"
nasib-nasiban,lajang
nasihat,"lumba, poda, suku"
nasihatkan,"palumba, palumba "
nenas,"anas, honas"
nenek,tutua
neraca; timbangan,dosing
ni pulau,pulou
niat,niat
niat; hajat,niat
nibung,libung
nila,itom
nipah,ipah
nira,"aduri, nira"
nira (pohon nyiru besar),aduri
Noun,gukgukan
num jumlah bilangan,buei
nya,ni
"nya; bentuk terikat yang merupakan varian pronomina persona dia dan pronomina benda yang menyatakan milik, pelaku, atau penerima",ni
nyala,nahit
nyala kecil,gara
nyaman,gehkon
nyamuk,"rongit, siranggang"
nyanyian,"doding, horleito"
nyanyian orang yang mengasuh bayi,horleito
nyaring,"palget, sihil, tiur"
nyaring (menggelikan telinga),sihil
nyaring: naring sorani suaranya nyaring,naring
nyaris,"minggip, ombis, singgip"
nyaris (tentang sesuatu yang membahayakan),ombis
nyata,"nata, panal, polgei, tae"
nyata;  jelas,panal
nyata; terang; jelas,polgei
nyenyak,"lojei, renges, sinog"
obat,"tambar, tambar , ubat"
obat atau ilmu,pupuk
obat atau ilmu sihir yang dapat mengobati  atau merusak,pupuk
obat penawar,tabar
obeng,obeng
oleng,peleng
oles,"deos, lapu, sosah"
ombak,umbak
omel,ringis
omong kosong,hual
onggok,Ry
orang,"bandaran, halak, huta, impa, lagei, manginsolat, marbajoran, namatoras, ongkoh, otoi, pahengkeng, pajumahon, pamangan, pambalbal, pamongkut, pangagou, panggawang, panggeret, panghasomani, panghirjati, pangindoan, pangojur, panonggor, parbensut, parborgoh, parharoan, parhasang, parhatoban, parhotang, parhuria, parhuta, parmedep, parrodi, parsonduk, partinggil, partua, sipujion, torasan, tua"
orang  yang menjadi bandar dalam judi,bandaran
orang berkedai,parkodei 
orang kerdil,pejel
orang pegunungan,"pardolog 
"
orang tua,nai
orang usia uzur dan telah me- miliki cucu dari anak laki-laki dan anak perempuan,sayurmatua
orang yang,"mot, paheng"
orang yang bandel,majangal  
orang yang berbicara,"parhata 
"
orang yang dituakan,sintua 
orang yang kikir,parholit 
orang yang melihat ke,paheng
orang yang membujuk,"pangojur 
"
orang yang mengetahui,pambotoh
orang yang menggali,parongkal
orang yang mudah atau gampang lelah tarloja a agak lelah,parloja 
orang yang punya,suhut
orang yang punya pesta,suhut
orang yang suka bertengkar,parbada 
orang yang suka kedinginan borgok,parborgoh 
orang yang suka pergi tidak menentu,"menentu 
parlajang "
orang yang tuli,nanengel 
orang yg menyanyi,"pandoding 
"
otak,otak
p ayo; kata seru untuk mengajak atau memberikan dorongan,eta
p he; hai,hei
p kamu,mu
p lah,do
p maaf-maaf cakap,suali
p sedangkan,gari
pacat,"isap, pacat"
pacul,sorok
pada,"bai, bani, banta"
pada kita,banta
pada tuan,bamu
padam,"iloh, intop, miloh, mintop"
padam; mati (tentang api); tidak menyala atau tidak berkobar lagi,miloh
padamkan,"ilohkon , paintop, paintop "
padang,"halimisan, padang, sampalan"
padang (penggembalaan),sampalan
padang pasir,halimisan
padat,"gok, onjat"
padatkan: asak omei na irgoni ai padatkan padi di dalam goni itu,asak
padi,"eme, omei"
padi hampa,lambang
padi yang isinya kurang bagus (lapung) dogdog   [dOgdOg]   Ry   v  tarik,dogdog
padi yang kurang bagus,dogdog
padihampa(kosong),lambang
paduan warna,barha
paduan warna hitam dan merah tua pada ayam bariang  [bariaG]  n  ikat erat-erat,barha
pagar,"apil, bidang, harad, hondar, hondor, sihor"
pagar,handang
pagar yang tidak dapat ditembus peluru dibuat dari ruyung atau kayu-kayu bulat yang disusun untuk benteng (kubu pertahanan),apil
pagar; batas,harad
pagi,sogod
pagi buta,langat
pagut,panggur
pagut; cotok; ,panggur
paha,"haehae, huangkuang, tulan"
paham benar-benar,bagas
pahat,"agad, baji, pahat, tuhil"
pahatan,tuhilon
pahit,"paet, pogih"
pajak,sohei
pak,pak
pakai,pahei
pakaian,"pakeian, pakeian , ruhun"
pakau,pakou
pakau (permain- an kartu Cina dengan kartu tiga helai di tangan dan dapat di- tukar-tukarkan seperti main ceki,pakou
pakis,"boniara, pahu"
paksa,"holhol, ojoh, paksa"
paksa (usir); ,holhol
paku,paku
palang dada,tohang
paling,tundal
paling besar tarbanggal a agak besar,sibanggalan 
palu,parpalu
panah,"panah, sior"
panas,"hangar, hangat, hodog, milas, misam, ongkap"
panas (karena tertutup),ongkap
panas hati,dejeng
panas hati;  hati,dejeng
pancang,"pajog, torjok, unjar"
pancangkan,pajogkon 
pancar,pansar
pancar; me- mancar,pansar
pancing,"hail, kail"
pancing; kail,hail
pancur,pansur
pandai,"pandei, pantas, pistar"
pandan,baion
pandau,pandau
pandau; rawa,pandau
panen,pariama
pang,puanglima
pang- lima,puanglima
panggang,"panggang, sombah"
panggang dengan cara diletakkan langsung di atas bara api,sombah
panggil,"angkora, dilo, pio, taur"
panggilan,dilo
panggilan antar perempuan yang sebaya atau kepada yang lebih muda,baya
panggilan untuk,"butet, ucok, unsok"
panggilan untuk anak laki-laki kecil,"ucok, unsok"
panggilan untuk anak lelaki yang sebaya atau lebih muda,ambia
pangkal,bona
pangkalan,bonahon 
pangkas,"jambak, pangkas"
pangkas; cukur jamban [jamban] n jamban,jambak
pangku,"abing, ampu"
pangkuan,"abingan, abingan "
pangkukan,"abinghon, ampuhon, ampuhon "
panjang,"gajang, ganjang, godang, hor, landou"
panjang (umur),hor
panjang kecil,lanjung
panjat,"apap, tangkih"
panji,pilou
pantai,"pantei, pasir"
pantang,"bangua, hamali, pantang, robu"
pantang; ,pantang
pantas,patut
pantat,"ambom, nambOm, nambom, pantil, tombom"
pantat,ihur
pantat beruk yang gundul,andal
pantat tabung,suntei
pantat tabung bambu tempat kapur,suntei
pantun,"askei, umpasa"
panu,panou
panu (sejenis penyakit kulit),panou
papan,"helpat, papan, rek"
para,"minggor, para"
parah,"ahir, bahat, pahang, parah"
parang,parang
para-para,"minggor, para"
parau,sohal
parit,parik
paru,orak
paruh,"padung, pauk"
parut,"kuhur, tikas"
parutan,kuhurkuhur
pasal,pasal
pasang,pasang
pasang; kena- kan,pasang
pasangan,"gumei, parangguan, parangguan , pasangan , rangguan"
pasir,horsik
pasti,jamin
pasung,bajang
patah,"dopok, maponggol, ponggol, rimpong, suak, terbad"
patah (dahan atau cabang),suak
patok,pantuk
patri,"pijor, podi"
patuh,bohok
patuk,"pagut, pangkur, sotok"
patuk; ,pangkur
patung,"gana, patung"
paya,paya
payah,"ragei, ranggei"
payah (membutuhkan waktu yang lama),mutir
payah dibelah,suing
paya-paya,paya
payung,"payung, saong"
pe,pamasang
pecah,"ligah, linat, losah, posah, pultak, puntar, ripuk, rosak, tapis"
pecal,posal
pedagang,tiga
pedang,podang
pedas,"jahar, sahar, siak, usil"
pedih,niak
pegal,ngayot
pegang,"arhat, jamah, jolom, pogang, potol"
pegangan,"joloman , pasihon"
pegangasewaktu keluar masuk rumah (biasanya ditempatkapada kiri-kanapintu),pasihon
pegawai,gamot
pejalan,pardalan 
pejam,pit
pejamkan,pit 
pekan,pokan
pekara,rana
pekarangan,laman
pekebun,parkobun
pekerja,"parhorja, parhorja "
pekerjaan,"horjaon, horjaon , lahoan"
pekerjaan borongan,borongan
pelabuhan,labuhan
peladang,parjuma 
pelam,telambung
pelam- pung,telambung
pelan,"anget, mungut, nanget"
pelan; lambat,nanget
"pelangi;	bianglala",halibitongan
pelan-pelan ia marhata mungut tumang dia berbicara pelan-pelan,mungut
pelari,parlintun 
pelawan,"sipangalo, sipangalo "
pelempar,"pagombung, pagombung , pandanggur , panggijig "
pelepah,"hampah, hodong, hulampah, lawak"
pelepah daun,rongkap
pelepah daun talas yang dilengketkan pada pelepah aren untuk menam- pung air aren yang sedang di- sadap,rongkap
pelepah pinang,upih
pelibas,pambasbas
pelihara,pahan
pelihara dengan baik,inu
pelimbahan,bondar
pelindung,panggomgom
pelipis,parsontingan
peluk,"alehon, dahop, hopkop, rohop, ropos"
peluk kuat,sotol
peluk; dekap,dahop
pelukaan,parugahon
pelupa,parlolos
peluru,pelor
pemahat,partuhil
pemahatan,patuhilon 
pemain,pargasing
pemain seruling,parsulim 
pemalu,"parmaila, parmela"
pemancing,pangkail
pemandian,tapian
pemanen,pamariama 
pemanggil,pandilo
pemangkas,"parpangkas, parpangkas 
"
pemangku,parabing 
pemanjat,"panangkih, panangkih "
pemarah,parlaga
pemarut,pangkuhur
pemasak,panlompah
pemasangan,pamasangan
pematah,"pamonggol, pamonggol "
pematang,"gadu, galung"
pematri,pamodi 
pembakar,"panurbui, panurbui "
pembangkang,"batal, panjua"
pembantu,"hatoban, pangurup "
pembawaan,merung
pembelah,"parbatis, partaha "
pembeli,pamboli 
pembelian,pambolion
pembengkokan,pagedugkon
pembenih,parbonih
pembentuk verba di,i
pemberani,parpag 
pemberat jala,simbora
pemberhentian,parhontian
pemberi,pambere
pemberian,"parrupei, tumpak"
pemberiann,bere
pemberitahuan,bugah
pembersih,"pamborsih, papasing "
pembersihan,papasingon
pembiakan,panggargarhon
pembicara,parsahap 
pembimbing,panogu
pembual,onggih
pembuat,"panombei, sibahen"
pembujuk,panganju
pembuka,pambuha 
pembukaan,rom
pembungkus,pambalut 
pembunuh,pamunuh 
pemburu,parburu
pembusuk,pamasik
pemegang,panjolom 
pemenang,"namonang, pamonang, pamonang "
pemerintah,panitah
pemetik,panilpak
pemiaraan,"parpinahan, parpinahan "
pemijat,"pamisat, paralud"
pemikul,panghallung 
pemikul orang yang memikul,palanja 
pemilik,"pargotong, parsolu"
pemilikan,pargotongkon
pemimpi,parnipi
pemimpin,pambobahi
peminta,"indo, pamindo "
pemintal,pangidas
peminum,parminum 
pemisah,"panirang, panirang "
pemotong,pangobog 
pemotongan,pangobogan
pemuda,garama
pemukul,"panaik, paulpak"
pemuntah,parutah
pemurah,"hangkei, lajak, layak"
pemurah; orang yang suka memberi,layak
pemusing,paminggot 
pemutus,panrotap 
pena,pena
penadah,panedek
penahan,panahan 
penampung,pananggo
penanam,panuan 
penanaman,panuanan
penanda vokal o,sihorlu
penanda vokal o pada aksara Batak,sihorlu
penanduk,pananduk
penangkap,parpolang
penanya,panungkun 
penapai,panapei
penari,panortor 
penarik,"panarad, panarik "
pencabut,pangumpat 
pencairan,palalaon 
pencambuk,pallonsing 
pencampur,"panampur, panombur, panombur "
pencari,"panorihi , parsoban"
pencari ikan,pardengke 
pencarian,"panorihon , pansarian, parjarahan"
pencekik,"pamongkik , panongkik"
pencemburu,"paritug 
"
pencium,pangummah 
pencubit,panggotik 
pencungkil,paungkil
pencuri,panangko 
pendahulu,panglobei
pendek,"gopok, gopuk, pondok, pondol"
pendek benar,jolpok
pendek bulat,gopong
pendengar,pambogei
pendiam,"lansi, parsip "
pendinding,padingding 
pendorong,pangonjar 
pendusta,"paguak, paguak "
penebas,partobas 
penebus,panobus
penembak,panembak 
penempah,panopa
penenun,partonun 
penerang,panorang
penerima,"panampin, panjalo "
penerimaan,panjaloan
penerkam,pandorab
peng,pamosonghon 
pengangkat,pangayob 
pengantar,"panaruhkon , pinadas"
pengantar kiriman,pinadas
pengantin,siparunjuk
pengasingan,paleganon
pengatur,pangatur
pengawal,ihat
pengayak,panege
pengejar,"pangayak , partulus"
pengekor,pangihur 
pengeluh,parholsoh
pengembara,awat
pengepal,pamohul
pengering,panghorah 
pengeringan,pahorahon 
pengeruh,panggomburi
pengetahuan,parbinotohan 
pengetam,"pangahotam, panghotam"
pengetaman,"panghotaman, panghotaman "
pengetua,"partuha, partuha "
penggali,"panahur , panghuar, panghurak 
, panguhal"
penggalian,pangongkalan 
pengganggu,panggarjou
pengganti,hasilian
pengganti nama,pan
pengganti nama untuk kaum laki-laki,pan
pengganti; seperti,hasilian
pengge,pamomburhon
penggendong,"panangking, panangking "
penggetar,hitir
penggigit,pangharat 
penggilingan,panggilingan
penggorengan,panggorengan
penggosok,"pangugus, pangugus "
penggoyang,pandugur
penghabisan,"pangambis, punsu"
penghafalan,pangapilan 
penghambat,pangolat 
penghambatan,pangolatan
penghangat,pamalas
penghapus,panasap
penghina,pandorun 
penghinaan,dorun
penghitam,pambirong
penghulu,pangulu
pengikat antara pisau dan tangkainya yang terbuat dari besi  atau rotan,langgou
pengikir,"pangihir  , pangkihir"
pengikut,pangihut 
pengiri,parsubil
pengirim,"panghirim , panongos "
pengiring,pangirik 
pengiris,pangiris 
pengisi,pangisi 
pengkar,balibison
pengkar baliga [baliga] n perkakas tenun balik [bali?] v balik,balibison
pengkhianat,partahi
penglihatan,panonggoran 
pengonsep,panhonrap
pengopi,pangopi
pengotori,"pambutakhon, pambutakhon "
pengrajin,paromas
penguasa,"panguasa, panguasa   "
pengukir,panguhir
pengukur,pangukur
pengumpul,"pahimpang , pamulung"
pengumuman,tingting
pengurus,maujana
pengutang,parutang 
pengutuk,bura
penikam,"paniham , panobak "
penimba,panggayung
penimbang,panimbang
penimbun,"panamban, panasa, panimbun"
penindih,panindih
pening,"erdeng, merdeng"
pening; pusing,mirdong
peninggalan,tadingan
peninjau,panatap
penipu,panipu
peniru,paniru 
peniup,panompul
penjahat,"parjahat, parjungkat "
penjahit,panjait
penjala,parjala 
penjara,tutupan
penjelasan,panjojoron
penjemur,"panghirei , panjomur "
penjepit,"panghapit, panghapit "
penjerat,parsiding
penjinjing,panghanting 
penjolok,aruk
penjual kain,parhiou 
penjudi,parjudi 
penjumput,panjomput
penolongan,pangurupion 
penombak,panumbak
penuduh,"panukas, panukas "
penuh,linir
penuh benar,isis
penulis,panurat
penulisan,panuraton 
penumbukan,pandudaan
penumpang,tare
penunggu,napaima
penunjuk,"panuduh , panulduk "
penunjuk orang,si
penurunan,malum
penurunan suhu panas menjadi dingin (tentang air panas),malum
penusuk,panusuk 
penutup,"hungkung, panrungkub"
penutup mulut anjing agar tidak dapat menggigit,hungkung
penyabit,panabi 
penyadap,paragad
penyakit,"anason, birion, joringon, sasanggul, tujur"
penyakit asma,bengek
penyakit biri,bambam
penyakit kulit,biring
penyakit pada perempuan yang baru melahir- kan,rian
penyakit perempuan,rian
penyakit sampar,paling
penyakit sampar; kolera,paling
penyalin,panalin
penyanggah,halang
penyanggah rumah yang tidak bertiang,halang
penyanyi,pardoding
penyapu,panapu
penyaring,panayoh
penyayang,parholong
penyelesai,"namandobhon, namandobhon "
penyembah,"panombah, panumbah"
penyembahan,panombahan 
penyembelih,"panagil, panekoh"
penyembuh,napamalumhon
penyepak,panipak 
penyepakan,panipakan
penyepuh,panopuh 
penyerahan,pangondosan
penyewa,"panasih, panasih "
penyiksa,pangarsik
penyimpan,pamonop 
penyimpanan,parponopan
penyirih,pardemban
penyokong,"panungkol , tungkol"
penyu,"lebow, tanggiripan, tungtung"
